camera_x,camera_y,camera_z,world_x,world_y,world_z
0.121587,0.12873,1.045,0.6324,-0.064864,0.717254
-0.0269276,0.0464998,0.769,0.46915,0.0779356,0.951185
0.258978,0.0990096,0.751,0.43132,-0.206372,0.915627
-0.0396767,0.0733726,0.582,0.311412,0.085796,1.04247
-0.258564,0.140086,0.648,0.317961,0.302165,0.953798
0.017568,0.0228528,0.474,0.261931,0.0259329,1.14602
0.0267658,0.0678262,0.942,0.586093,0.0256436,0.830612
0.33971,0.17362,1.004,0.573859,-0.278161,0.705746
0.00704499,0.173702,0.938,0.519335,0.0451113,0.750039
-0.247138,0.319297,0.978,0.458213,0.294927,0.620414
0.00436374,0.23906,1.117,0.615721,0.0502944,0.592319
0.401224,0.271157,1.097,0.580865,-0.333254,0.582344
0.170153,0.124908,0.903,0.523368,-0.116998,0.80889
0.355799,0.133995,0.788,0.438463,-0.301698,0.863675
-0.0383847,0.101047,0.788,0.452208,0.0874029,0.894469
-0.169585,0.0373648,0.775,0.474982,0.218356,0.956663
0.049039,0.0143296,0.713,0.451839,-0.00106191,1.0043
0.250713,0.0223721,0.662,0.410319,-0.201606,1.02717
0.00458315,-0.00346538,0.675,0.431363,0.0424924,1.04301
-0.202811,0.0798156,0.488,0.233825,0.244018,1.09485
-0.125108,0.0421257,0.568,0.319607,0.167724,1.0745
0.24575,0.0714402,0.554,0.298718,-0.201409,1.05544
0.0418196,0.0225986,0.561,0.334215,0.00300547,1.08958
0.127404,0.00961569,0.671,0.42474,-0.081634,1.03418
0.0364909,0.0367777,0.852,0.54466,0.0137881,0.90188
