x y z
0.72251 -0.167524 0.205674
0.701786 -0.17592 0.20955
0.683346 -0.207593 0.208234
0.693903 -0.220639 0.226872
0.71382 -0.232 0.244767
0.703092 -0.247732 0.185586
0.688357 -0.262135 0.21363
0.689494 -0.24126 0.224163
0.697331 -0.229645 0.207895
0.72761 -0.248571 0.189729
0.71514 -0.262439 0.223303
0.710389 -0.238218 0.2305
0.718162 -0.22375 0.211811
0.746337 -0.243502 0.198927
0.737936 -0.257093 0.231893
0.728529 -0.233459 0.235629
0.732297 -0.222121 0.219968
0.760441 -0.233604 0.210637
0.754679 -0.241347 0.237615
0.745513 -0.225762 0.240946
0.746981 -0.213612 0.225065
