x y z
0.696922 -0.15734 0.470205
0.718779 -0.151559 0.472173
0.74641 -0.152992 0.496245
0.751118 -0.177597 0.497435
0.747258 -0.206391 0.498864
0.737919 -0.164895 0.544206
0.767512 -0.182093 0.53792
0.762207 -0.18161 0.515125
0.744245 -0.169884 0.516044
0.720213 -0.182319 0.545588
0.750052 -0.204508 0.53598
0.746706 -0.196896 0.511652
0.726592 -0.182253 0.511642
0.7068 -0.19754 0.53856
0.732987 -0.221534 0.529588
0.732205 -0.209033 0.507136
0.717894 -0.195501 0.507419
0.696132 -0.209881 0.525602
0.715246 -0.228773 0.515665
0.71748 -0.219431 0.499989
0.704593 -0.204081 0.499453
