x y z
0.616517 0.191308 0.439201
0.634695 0.204642 0.441802
0.643751 0.238287 0.453248
0.63921 0.236898 0.477874
0.62642 0.230779 0.503271
0.608396 0.272923 0.46127
0.629851 0.278565 0.488082
0.637607 0.25661 0.485675
0.626489 0.250954 0.4682
0.588153 0.262242 0.471026
0.609972 0.264215 0.50257
0.622306 0.243251 0.494241
0.610865 0.236316 0.473264
0.576378 0.246864 0.480291
0.594397 0.247274 0.512184
0.609323 0.230081 0.500241
0.602003 0.225987 0.482418
0.570763 0.22829 0.487873
0.585244 0.22543 0.512431
0.598069 0.214885 0.504537
0.592875 0.211124 0.48554
