x y z
0.67902 -0.124084 0.221565
0.704144 -0.130616 0.22186
0.72596 -0.153106 0.242165
0.746482 -0.156885 0.258088
0.770687 -0.166251 0.277359
0.703468 -0.19706 0.265811
0.721773 -0.211692 0.240378
0.718901 -0.191665 0.226789
0.707865 -0.1745 0.238303
0.680487 -0.201856 0.259186
0.693798 -0.217071 0.229314
0.696494 -0.193657 0.216447
0.686801 -0.177027 0.233954
0.662045 -0.198448 0.251107
0.66849 -0.217162 0.219958
0.674575 -0.194356 0.210117
0.671494 -0.179505 0.225149
0.64834 -0.190524 0.231023
0.635636 -0.208747 0.224734
0.626897 -0.221569 0.220709
0.613267 -0.236618 0.217748
