x y z
0.735717 -0.0278799 0.466932
0.718253 -0.0350895 0.449127
0.716191 -0.0609021 0.42223
0.713466 -0.0675354 0.39698
0.710178 -0.0802866 0.367457
0.744842 -0.107182 0.428087
0.712601 -0.118461 0.433501
0.706433 -0.0965955 0.442323
0.723825 -0.0809874 0.440623
0.755249 -0.110313 0.449925
0.72313 -0.121382 0.462042
0.713993 -0.0964291 0.465899
0.734782 -0.0822606 0.45926
0.76223 -0.105248 0.468434
0.733549 -0.119398 0.486852
0.724252 -0.0955814 0.486272
0.738583 -0.0829981 0.476667
0.757651 -0.0941 0.49099
0.760129 -0.110848 0.506687
0.762027 -0.122696 0.517317
0.767833 -0.136764 0.531079
