x y z
0.653994 0.00171345 0.387293
0.660029 -0.0185575 0.372238
0.673367 -0.0530387 0.377449
0.691649 -0.0714159 0.373321
0.711264 -0.0969847 0.370776
0.663432 -0.0780392 0.425128
0.642497 -0.0955013 0.403849
0.640105 -0.0756508 0.389912
0.653636 -0.0579304 0.397116
0.647663 -0.0666066 0.439813
0.621108 -0.0806498 0.419848
0.622889 -0.0616782 0.400929
0.64146 -0.0463376 0.410766
0.63625 -0.0512842 0.447021
0.604563 -0.0636464 0.432699
0.609688 -0.0477728 0.413314
0.627766 -0.037321 0.417779
0.619018 -0.0330103 0.442211
0.600761 -0.0382328 0.455341
0.588307 -0.0421055 0.464663
0.573911 -0.0449556 0.479003
