x y z
0.755509 0.254094 0.400505
0.758116 0.244339 0.424589
0.741359 0.274539 0.472309
0.738994 0.269701 0.484557
0.731887 0.301798 0.494963
0.778604 0.311925 0.468057
0.769529 0.314821 0.500107
0.750954 0.301685 0.509296
0.734601 0.283778 0.500699
0.770793 0.328221 0.449552
0.771625 0.356702 0.468555
0.759001 0.370837 0.488601
0.742177 0.385452 0.509006
0.757275 0.334249 0.430952
0.747076 0.358401 0.443666
0.731986 0.376101 0.45795
0.712283 0.390123 0.473318
0.742335 0.333957 0.412521
0.731246 0.354368 0.41983
0.717684 0.364084 0.426437
0.699471 0.376129 0.439599
