x y z
0.634625 0.170473 0.381732
0.650888 0.15798 0.3979
0.660314 0.176619 0.45298
0.665505 0.169626 0.463136
0.662335 0.197653 0.482971
0.685501 0.221073 0.439109
0.695249 0.217224 0.470861
0.686052 0.199327 0.4849
0.669397 0.179927 0.482024
0.667365 0.237989 0.431768
0.67584 0.262871 0.453725
0.675022 0.270952 0.480088
0.670865 0.278581 0.509028
0.645379 0.243815 0.424863
0.641635 0.263179 0.446311
0.635282 0.275062 0.470048
0.626027 0.282276 0.496187
0.622886 0.243211 0.417333
0.615787 0.25958 0.433906
0.607234 0.265201 0.448645
0.59819 0.271139 0.471731
