x y z
0.596191 0.0167697 0.652018
0.604858 0.0401013 0.644111
0.623568 0.0808552 0.682309
0.631181 0.0915415 0.679693
0.62915 0.100121 0.713028
0.576045 0.0899352 0.703805
0.592929 0.117462 0.712478
0.616843 0.119797 0.707515
0.635002 0.105857 0.69577
0.571342 0.070423 0.72012
0.566282 0.0895722 0.748061
0.578539 0.104948 0.767409
0.594434 0.119332 0.788703
0.575318 0.048671 0.72884
0.579575 0.0581951 0.756046
0.590938 0.0674366 0.779078
0.60802 0.076112 0.800384
0.582866 0.0264246 0.732175
0.587573 0.0304294 0.75573
0.598077 0.0326431 0.770109
0.613872 0.0396442 0.788858
