x y z
0.710549 0.148148 0.381915
0.687646 0.154133 0.364635
0.658851 0.17323 0.372261
0.633051 0.177724 0.367446
0.602873 0.182625 0.361342
0.662411 0.206492 0.410195
0.641043 0.227315 0.419512
0.621948 0.242437 0.429398
0.605649 0.255393 0.43454
0.68188 0.210915 0.420702
0.670298 0.236475 0.440159
0.661342 0.257005 0.451442
0.64986 0.279636 0.465759
0.703402 0.211179 0.425252
0.704181 0.234269 0.446162
0.704353 0.251693 0.461922
0.704306 0.271356 0.479905
0.725328 0.207708 0.424155
0.733061 0.223187 0.437669
0.741652 0.234069 0.449148
0.751573 0.248996 0.458933
