x y z
0.733284 0.183256 0.476139
0.73977 0.167728 0.500135
0.753286 0.179294 0.530721
0.767708 0.173643 0.552379
0.784585 0.166454 0.577588
0.747491 0.228344 0.541608
0.755307 0.24319 0.567981
0.764846 0.256228 0.588717
0.771641 0.264485 0.607309
0.735039 0.242229 0.528913
0.737154 0.269474 0.549389
0.736858 0.287587 0.566733
0.73846 0.308988 0.586441
0.721002 0.249252 0.513497
0.71604 0.27831 0.523599
0.712593 0.300164 0.531505
0.708957 0.324967 0.540537
0.706472 0.249657 0.496683
0.69768 0.269666 0.498756
0.689987 0.285898 0.497586
0.678406 0.302675 0.498779
