x y z
0.771647 0.215599 0.356861
0.742477 0.218364 0.356177
0.721944 0.238925 0.376366
0.698011 0.242698 0.387411
0.669775 0.24667 0.400018
0.743659 0.278913 0.398442
0.729869 0.301409 0.415198
0.718847 0.318397 0.431959
0.70748 0.332302 0.443683
0.764946 0.285072 0.394205
0.764461 0.314077 0.412218
0.761774 0.336522 0.423082
0.758641 0.36165 0.437496
0.784792 0.285964 0.384754
0.795303 0.312684 0.396861
0.80289 0.332848 0.406232
0.811378 0.355645 0.417107
0.802019 0.282085 0.371256
0.814522 0.299812 0.374635
0.827002 0.312625 0.376657
0.839101 0.329057 0.375894
