x y z
0.69039 0.179148 0.323921
0.707084 0.175603 0.34152
0.701064 0.204289 0.368238
0.68283 0.203975 0.372289
0.657658 0.19971 0.36184
0.708653 0.240714 0.366958
0.710056 0.266958 0.390859
0.712974 0.284369 0.408304
0.713772 0.300091 0.424466
0.690389 0.25392 0.356373
0.682205 0.242255 0.390709
0.684242 0.216418 0.380844
0.692761 0.221543 0.361578
0.671227 0.251482 0.349172
0.658003 0.237428 0.379397
0.665821 0.214342 0.369602
0.669474 0.216982 0.349963
0.65262 0.243157 0.341791
0.642709 0.230358 0.363331
0.647691 0.213426 0.360251
0.653464 0.217755 0.341896
