x y z
0.686498 -0.0359001 0.219004
0.701817 -0.0532346 0.227119
0.690438 -0.0869505 0.209604
0.689173 -0.0832347 0.19134
0.682371 -0.0639212 0.172854
0.660892 -0.108766 0.215698
0.65157 -0.141701 0.206194
0.646597 -0.165466 0.201046
0.641953 -0.186569 0.194556
0.640811 -0.101458 0.202916
0.666589 -0.117931 0.181793
0.683473 -0.0970292 0.188654
0.670972 -0.0884253 0.204137
0.635346 -0.0877674 0.188505
0.660004 -0.0980093 0.164566
0.675773 -0.0807646 0.176564
0.66419 -0.0687526 0.187858
0.63481 -0.0709045 0.17489
0.654608 -0.0764962 0.15749
0.668136 -0.0666654 0.163919
0.656224 -0.0573158 0.176556
