x y z
0.713831 -0.157188 0.35952
0.693857 -0.153865 0.37334
0.696968 -0.179549 0.403401
0.714009 -0.177126 0.410661
0.740284 -0.171289 0.404613
0.692726 -0.216523 0.404351
0.688914 -0.240741 0.43006
0.684138 -0.256871 0.448309
0.681545 -0.271223 0.465522
0.713677 -0.228702 0.39863
0.714198 -0.213529 0.432564
0.712001 -0.188907 0.419997
0.707752 -0.196395 0.4001
0.7336 -0.225 0.394842
0.739643 -0.207301 0.42544
0.731998 -0.185967 0.412157
0.732381 -0.190544 0.392538
0.75254 -0.215527 0.390198
0.757097 -0.200106 0.411817
0.751445 -0.18405 0.406228
0.749644 -0.190406 0.387644
