x y z
0.64318 0.127698 0.250061
0.615673 0.125736 0.243314
0.584955 0.137856 0.252233
0.562989 0.134755 0.260286
0.536722 0.12747 0.26841
0.58985 0.182408 0.272684
0.570534 0.206182 0.27857
0.554732 0.219677 0.285862
0.541439 0.238666 0.290071
0.608421 0.194884 0.273382
0.602107 0.226343 0.280195
0.59481 0.246877 0.287818
0.589106 0.269639 0.297788
0.628765 0.204135 0.275938
0.621495 0.216344 0.245408
0.625065 0.193405 0.236629
0.628757 0.181769 0.253271
0.64793 0.20395 0.270776
0.648816 0.213599 0.245239
0.648778 0.199611 0.235527
0.648899 0.184399 0.247758
