x y z
0.714397 0.247337 0.394104
0.703121 0.264803 0.37477
0.681472 0.29112 0.371809
0.661692 0.300839 0.363368
0.638288 0.310158 0.35016
0.679895 0.316317 0.414113
0.670192 0.344765 0.422455
0.65882 0.363057 0.427044
0.652692 0.384544 0.434512
0.693335 0.313672 0.431815
0.692436 0.339388 0.452158
0.687549 0.357448 0.465685
0.682344 0.375611 0.482802
0.705547 0.30709 0.449523
0.728028 0.327748 0.435315
0.731028 0.310526 0.417697
0.717343 0.295748 0.422206
0.720627 0.296041 0.456193
0.743336 0.308505 0.447537
0.747246 0.300404 0.433076
0.733981 0.286248 0.43092
