x y z
0.709277 0.171549 0.33748
0.681825 0.170355 0.344619
0.659581 0.182324 0.367683
0.644 0.179038 0.385102
0.624509 0.171627 0.404446
0.675407 0.225509 0.385336
0.662197 0.249142 0.400827
0.652333 0.262385 0.415399
0.643424 0.281262 0.426319
0.692549 0.237676 0.377648
0.691509 0.268754 0.388092
0.689555 0.288891 0.399213
0.690206 0.31109 0.411734
0.712005 0.24649 0.370593
0.691563 0.260592 0.34785
0.689598 0.238173 0.337385
0.700304 0.225517 0.349683
0.726371 0.246361 0.356896
0.715368 0.257503 0.334518
0.710148 0.244121 0.325372
0.715472 0.228206 0.335341
