x y z
0.689619 0.225799 0.240961
0.699414 0.233161 0.259342
0.716965 0.257316 0.283186
0.737099 0.262514 0.298664
0.761899 0.269689 0.312062
0.71322 0.308136 0.262978
0.691601 0.317906 0.289627
0.684235 0.294167 0.291417
0.695695 0.280709 0.274053
0.695878 0.310649 0.246187
0.672642 0.318037 0.273673
0.669642 0.292724 0.277031
0.684756 0.281843 0.259734
0.680507 0.307958 0.232715
0.654507 0.31239 0.256003
0.656652 0.286751 0.260014
0.673124 0.280861 0.245217
0.66417 0.298843 0.22059
0.641648 0.298523 0.237072
0.643514 0.281761 0.243118
0.658676 0.272923 0.234116
