x y z
0.694489 -0.0223703 0.181183
0.708709 -0.0214078 0.198061
0.729441 -0.0331072 0.227949
0.736388 -0.0299789 0.252727
0.740235 -0.0288832 0.281537
0.728018 -0.087858 0.230256
0.762655 -0.0898219 0.221923
0.760295 -0.0680719 0.209991
0.736726 -0.060537 0.211289
0.721042 -0.0982692 0.209473
0.756364 -0.0979148 0.199363
0.753174 -0.0736321 0.191542
0.728951 -0.0680313 0.196819
0.714666 -0.102436 0.190316
0.746583 -0.101184 0.175559
0.741816 -0.0757624 0.172556
0.720668 -0.0737188 0.181133
0.707993 -0.100286 0.169153
0.731227 -0.0966841 0.154113
0.730906 -0.0787749 0.153717
0.714474 -0.0720675 0.162321
