x y z
0.561601 0.164334 0.41226
0.545428 0.15076 0.418754
0.518079 0.135894 0.440913
0.50811 0.115264 0.453038
0.500021 0.0931264 0.470082
0.506877 0.171113 0.4814
0.474477 0.177463 0.467875
0.483511 0.171701 0.445376
0.507643 0.166434 0.447348
0.514608 0.193699 0.477032
0.482351 0.199777 0.460522
0.492087 0.189302 0.439157
0.515777 0.18242 0.445276
0.522891 0.21086 0.469163
0.494857 0.219875 0.449908
0.505587 0.205126 0.431325
0.524997 0.198104 0.441273
0.533191 0.225257 0.455612
0.514074 0.233181 0.436883
0.518437 0.221421 0.42409
0.534346 0.211085 0.42948
